opened_at,ticker,side,shares,entry,stop,target,horizon_d,thesis,status,closed_at,exit,realized_pnl
2026-06-25,CMPS,long,50.136664,12.72,10.8000,,,RH · psychedelics core; FDA priority voucher + rolling NDA Q4-26 | hard stop below 20d base 11.03 | trued to broker 143.136664 sh (fractional missed at seed; surfaced by 8/13 trim) · ADR pass-through fee $3.86 (2¢/sh 8/5) debited from cash [2026-08-13] | trim complete 8/13: sold 50@14.00 + 93@13.77 → kept 50.136664 = 2-unit conviction size into the Q4-26 FDA binary,closed,2026-08-17T14:30:00+00:00,13.4800,38.10
2026-06-25,HELP,long,49,11.37,,6.80,,RH · Helus/ex-Cybin; limit sell 49 @ 6.80 filled as planned,closed,2026-06-25T00:00:00+00:00,6.8000,-223.93
2026-06-25,NIO,long,28.0,8.50,2.9000,4.8500,,"RH · China EV — THESIS DEAD → limit-exit 4.85-5.15 into strength, stop 2.90 [status lead added 2026-08-08, audit #1; history follows] | ORIGINAL: HOLD to June-delivery print ~early-Jul; +38% 12m / del +62% YoY / first Q1 adj op profit; cut if print misses or can't reclaim | 7/1 print: June +62.9% YoY del / Q2 +49.4% YoY — in line not a miss; stock flat ~$5; watching for reclaim next sessions | stop below 4.73 multiwk base — reclaim 5.50 in ~2-3wk or cut | EXIT PLAN 7/24: limit-sell into strength 4.85-5.15 (dead delivery thesis); retired 4.60 market-stop (sat on 52wk low); downside fallback = close below 3.14 floor. Bottom-tick audit: HELP/XRP both bounced post-cut, exit into strength not market-dump | structured 2026-08-04 from the 7/24 prose exit plan (band 4.85-5.15); high since 7/24 was 4.94 and nothing noticed | SOLD ALL at market 8/13 ~9:10ET @ 4.48 (broker 28.784864 sh incl fractional twin row) — legacy conversion + tax harvest; wash sale: no NIO rebuy before 2026-09-12",closed,2026-08-13T14:05:20+00:00,4.4800,-112.56
2026-06-25,XRP,long,49.0,1.82,,,,RH · crypto satellite,closed,2026-06-25T17:25:51+00:00,1.0300,-38.71
,__CASH__,,,0.00,,,,,cash,,,
2026-06-25,__SEED__,,,4662.74,,734.35,,,meta,,,
2026-06-25,HELP,long,50,11.37,,,,RH · Helus/ex-Cybin; underwater,closed,2026-06-25T16:26:16+00:00,6.1500,-261.00
2026-06-25,HELP,long,0.35,11.37,,,,RH · Helus/ex-Cybin; fractional remainder missed at seed,closed,2026-07-01T00:00:00+00:00,6.5900,-1.67
2026-06-25,NIO,long,0.784864,8.50,,,,fractional remainder missed at seed — surfaced by the 8/13 sell-all (broker 28.784864 vs book 28.0); proceeds +3.52 credited to cash,closed,2026-08-13T14:05:20+00:00,4.4800,-3.16
2026-07-24T14:43:58+00:00,SPY,long,1.009934,738.3400,664.5100,0.0000,252,beta anchor — stop-picking-own-index (own picks -16% vs SPY +0.4%); EMA20/50 de-risk exit (sell when SPY 20d<50d EMA); protective floor -10%,closed,2026-08-17T14:30:00+00:00,775.4100,37.44
2026-08-05T15:52:38+00:00,DXCM,long,5.0,84.2800,76.8000,0.0000,21,order 2026-07-31,closed,2026-08-07T13:53:08+00:00,82.5750,-8.52
2026-08-07T13:58:25+00:00,DVA,long,2.0,178.0000,169.0000,0.0000,21,order 2026-08-07 · #guidance-cut-overreaction: -25%/6d on held-flat FY guide despite Q2 beat; dialysis duopoly + Berkshire floor; 21d vs XLV; GTC limit 178 filled same day,closed,2026-08-17T14:31:00+00:00,177.4900,-1.02
2026-06-25,CMPS,long,50,12.72,10.8000,,,RH · psychedelics core; FDA priority voucher + rolling NDA Q4-26 | hard stop below 20d base 11.03,closed,2026-08-13T14:05:20+00:00,14.0000,64.00
2026-08-13T14:33:48+00:00,CACI,long,1.0,674.0000,620.0000,0.0000,63,order 2026-08-13 · read 8/12 HIGH #post-earnings-drift: fQ4 blowout EPS 8.91 vs 7.32 + FY27 guide ~17% above consensus + funded backlog +29% → multi-week estimate revisions; defense-IT compounder not a meme; 63d vs ITA; limit 686.88 filled 674.00 same morning,closed,2026-08-17T14:30:00+00:00,662.0000,-12.00
2026-06-25,CMPS,long,93,12.72,10.8000,,,RH · psychedelics core; FDA priority voucher + rolling NDA Q4-26 | hard stop below 20d base 11.03 | trued to broker 143.136664 sh (fractional missed at seed; surfaced by 8/13 trim) · ADR pass-through fee $3.86 (2¢/sh 8/5) debited from cash [2026-08-13],closed,2026-08-13T14:33:48+00:00,13.7700,97.65
2026-08-07,DVA,long,1.0,178.0000,0.0000,0.0000,21,"trued to broker: E*Trade liquidation sold 3 sh vs book 2 — extra share from the user's GTC 178 limit (entry ASSUMED 178.00, the limit price; exact fill date unknown, order ledger shows 2). Same class as the NIO/CMPS seed-miss truings.",closed,2026-08-17T14:31:00+00:00,177.4900,-0.51
2026-08-18,__RETIRED__,,,3970.42,,,,capital exited [ARC 5 #12] — closing verdict in FINDINGS,meta,,,
