logged_at,ticker,direction,horizon_d,benchmark,thesis,status,entry_date,entry,excess_pct,pattern_tag,notified
2026-06-24T00:49:12+00:00,NOW,long,63,QQQ,"ServiceNow: -33% YTD, dropped 13% on a one-off Mideast deal-delay while RAISING FY subscription guidance; strong-buy consensus, retail/analyst aligned. Betting the timing-overreaction mean-reverts vs tech. Spans 7/21 earnings (event risk). Modest prior (mega-cap = efficient).",open,,,,,
2026-06-24T01:27:19+00:00,META,long,63,QQQ,"Meta: 90% analyst buy, avg target +25%; the selloff was AI-capex fear on a profitable, cost-disciplined compounder that beat earnings. Betting re-rating vs tech. Spans 7/29 earnings (event risk). Mega-cap = modest prior.",open,,,,,
2026-06-24T01:27:19+00:00,NFLX,short,63,QQQ,"Netflix: confirmed downtrend, death cross, Sell consensus across 10-200d, fresh negative catalyst (iHeart deal). Betting the oversold bounce fails and weakness continues vs tech. Low conviction (RSI 27 = bounce risk). Spans 7/16 earnings.",open,,,,,
2026-06-25T02:04:22+00:00,ACN,long,63,XLK,"Accenture: worst-ever single-day drop (-18% Jun 18, -25% on the week) on FY26 rev-growth guidance cut to 3-4% + YoY bookings decline + genAI-disrupts-consulting narrative. Capitulation washout: fwd P/E ~9x vs 22-25x historical, near 52wk low $125.60, RSI oversold, FCF intact ~$3.6B/qtr, 78% analyst buy. Read: idiosyncratic oversold bounce vs its own sector over 63d; NO earnings inside window (Q4 FY26 ~late Sept) so no in-window catalyst for the next leg down. Conviction MODERATE (lean ~55-60%); main risk = value-trap/melting-ice-cube if AI de-rating keeps grinding. Bench XLK to strip tech beta.",open,,,,,
2026-06-25T02:36:06+00:00,FDS,short,63,SPY,"FactSet: Rothschild/Redburn cut to Sell 6/18 (PT 291->215), part of an analyst re-rating cluster; -23% YTD, -8% on week. Thesis: terminal franchise eroding to AI/fragmented data consumption + downgrade momentum, no obvious floor. Conviction med-high. EVENT RISK: Q3 FY26 report ~July 1 (3 trading days into window) is a binary catalyst - a beat could sting short-term, but secular re-rating + PT cuts favor downside over 63d.",open,,,,,
2026-06-25T15:46:51+00:00,CMPS,long,126,XBI,"FDA priority voucher (1-2mo review) + rolling NDA Q4-26; binary approval late-26/early-27; keeping core psychedelics horse, sized small. Bench XBI = measure stock-picking not biotech beta.",open,,,,,
2026-06-25T23:34:56+00:00,MU,long,21,SOXX,"Micron fQ3 (rpt 6/24): fell -11% intraday then +15% AH on a STRUCTURAL guide-beat — guided ~$50B rev @ ~86% GM, $31 EPS, ~14.7% above consensus, PLUS a $100B SCA supply contract w/ $22B deposits raising the FY27/28 floor. HBM sold out; PTs doubled/tripled ($1300-1625). Post-earnings-drift long (PEAD on a large guide-beat, distinct from price-momentum dead-end). Conviction mod-HIGH. Risk: already gapped +15%, crowded AI-memory, shaky tape (VIX~27); no earnings in 21d window. vs SOXX to isolate name-specific drift from semi beta. FAST sleeve.",closed,2026-06-26,1132.16,-7.99,,2026-07-31T05:09:55+00:00
2026-06-25T23:35:02+00:00,FDX,long,63,XLI,"FedEx fQ4 (rpt 6/23): BEAT EPS $6.31 vs $5.92 & rev, but -6/-7% on guidance the Street can't model — guide ($16.90-18.10) covers only delivery ops post-FedEx-Freight spinoff w/ a calendar-yr reporting transition, so 'analysts have not developed comparable models' (uncertainty discount, not a fundamental break). Jefferies: delivery margins near TROUGH, +350bps by 2029; PT cuts KEPT Buy/Outperform (Truist $365, RJ $330). Contrarian long: mechanical selloff = modeling confusion that clears as Street rebuilds models. Conviction MOD. No earnings in 63d window. vs XLI to neutralize industrial beta (FDX is a minority XLI holding).",open,,,,,
2026-06-26T17:32:31+00:00,ILLR,short,21,IWM,"Triller: 1:10 reverse split 6/23 + Nasdaq delist deadline 6/30, negative equity/shrinking rev; SpaceX-treasury-asset narrative PUMP already round-tripped ~$0->$6->~$4 — spent-catalyst spike-fade (Arc5#3). Fade the borrowed-narrative meme; own the real SPCX.",closed,2026-06-29,3.77,+69.74,,2026-07-31T05:09:55+00:00
2026-06-26T20:08:05+00:00,AVGO,long,63,SOXX,"Broadcom: -12.6% sell-the-news Jun4 (fQ2 BEAT rev+EPS but Q3 AI-chip guide $16B vs $17.2B est, didnt blow out) amid $1.3T semi-panic; 3wk later still near lows ~$406. Universal analyst PT HIKES within 24h: JPM $580 top semi pick, Jefferies $550, GS $525; consensus Strong Buy, 0 Sells, avg PT ~$517 (+27%). Idiosyncratic bet AVGO outperforms its OWN sector (SOXX) as a quality AI-infra franchise oversold on sentiment not fundamentals. Conviction MEDIUM. Risk: AI-capex-fear rotation + Fed Dec-hike fear (42% odds) keeps high-multiple semis pressured; 3wk non-recovery is a yellow flag. No earnings in window.",open,,,,,
2026-06-26T20:08:05+00:00,ON,long,21,SOXX,"onsemi: -24% single-day Jun26 (worst ever, CEO defending core) on $7B ALL-STOCK Synaptics acquisition (1.35x SYNA, ~19% premium). FAST-sleeve contrarian: -24% deal-PANIC overshoot on a strategically coherent (Edge/physical-AI), EPS-accretive-in-18mo, TAM +$30B deal tends to partially revert as forced/momentum selling clears in weeks. Conviction LOW. Key risk: all-stock structure => merger-arb shorts ON & longs SYNA, a PERSISTENT mechanical overhang to mid-2027 close that caps the bounce; weak auto/analog core. Scored on fast 21d bar [Arc5#5].",closed,2026-06-29,88.57,+15.28,,2026-07-31T05:09:55+00:00
2026-06-26T22:13:46+00:00,AYI,long,21,XLI,"Acuity (AYI): Q3 FY26 (rpt 6/25) DOUBLE BEAT + RAISE — EPS $5.31 vs $5.24, rev $1.198B beat, FY guide raised (rev $4.8B, EPS $19.75 above consensus); Intelligent Spaces rev +15%, op margin +800bps to 18.6%. +17.5% on print. Clean PEAD beat-and-raise on a REAL industrial (non-AI/semi diversification). Thesis: post-earnings-drift continues vs industrials. Conviction MEDIUM. Event risk: next print ~Oct, outside 21d window. Fast sleeve.",closed,2026-06-29,367.40,-6.17,,2026-07-31T05:09:55+00:00
2026-06-26T22:13:56+00:00,BB,long,21,IWM,"BlackBerry (BB): Q1 FY27 (rpt 6/25) beat every metric — rev $152.9M (+26% YoY, ~11% above est), adj EPS $0.04 vs $0.03, adj EBITDA +144%; FIRST profit since 2022; FY27 guide raised (rev $594-621M, midpoint above consensus). Stifel initiated Buy $12, CIBC/Canaccord raised PTs. +30% two-day surge to ~$11.2. Thesis: PEAD + analyst-revision drift on a real AI/QNX turnaround. Conviction LOW-MED — already +30% extended (spike-reversion risk per ARC5#3). Small-cap → IWM bench. Fast sleeve.",closed,2026-06-29,12.48,-33.30,,2026-07-31T05:09:55+00:00
2026-06-26T22:13:56+00:00,OXM,short,63,XRT,"Oxford Industries (OXM): Q1 FY26 (rpt 6/10) cut FY26 rev guide (top end lowered, mid $1.49B) + Q2 sales ~5.8% below Street on deceleration late-Apr-to-early-June; -17% AH; reported securities investigation post-cut. Apparel/discretionary (Tommy Bahama, Lilly Pulitzer, Johnny Was) — low-end consumer worsening, corroborated by ROST downgrade (sector-wide). Thesis: negative post-guidance-cut estimate-revision drift in a weak discretionary tape. Conviction LOW-MED — late entry (16d post-event, already -17%). vs XRT retail. Core 63d.",open,,,,,
2026-06-28T16:28:14+00:00,APO,short,63,XLF,Apollo: private-credit redemption gates (5pct quarterly cap enforced as ~17pct sought to redeem from Apollo Debt Solutions) + SEC valuation/disclosure probe + fiduciary investigation; 80x PE on -8.8pct YoY revenue. Idiosyncratic alt-manager credit stress vs broad financials; structural overhang grinds over a quarter.,open,,,,credit-stress-unwind,
2026-06-28T16:28:14+00:00,CIEN,long,21,XLK,"Ciena fQ2 (Jun4): rev 1.57B +40pct YoY, raised FY26 to 6.3B (+32pct). AI-optical interconnect leadership validated by Nvidia optical endorsement + Amazon/Corning datacenter fiber deal; post-earnings drift + intra-AI rotation chips->optical. Fast sleeve vs broad tech.",closed,2026-06-29,478.93,-19.09,post-earnings-drift,2026-07-31T05:09:55+00:00
2026-06-29T22:14:45+00:00,CCL,long,63,XLY,"Carnival fQ2 (rpt 6/24): DOUBLE BEAT — adj EPS $0.41 vs $0.34, record rev $6.7B, 12th straight record net yields, record $9.0B deposit book, 2026 ~93% booked. Stock fell ~6-9pct on a soft Q3 guide ($1.35 vs $1.42) + FY net-yield cut 2.75pct->1.75pct. KEY READ: the cut is driven by (a) Middle East geopolitics hitting only Mediterranean deployments and (b) a loyalty-program ACCOUNTING change — both transient/optical, not demand destruction; underlying demand signals are record-strong. Market punished the headline yield-guide without separating the exogenous/optical cut from durable demand = overreaction. Conviction MODERATE. EVENT RISK two-sided: Middle East tensions could escalate and worsen Med bookings further (the thesis's own catalyst is also its main risk). Measured vs XLY to strip consumer-disc beta.",open,,,,guidance-cut-overreaction,
2026-07-01T22:16:05+00:00,CNXC,short,63,IWM,"Concentrix fQ2 (rpt ~6/29): results ~in-line (EPS 2.63 vs 2.64, rev in-line, FCF UP) but GUIDANCE CUT hard — Q3 EPS mid 2.71 vs 3.09 consensus (-12%), FY 10.83-11.18 vs 11.97 (-8%); stock -26% single day. Short/continuation (NOT overreaction-fade): PEAD says negative-surprise drift continues; secular AI/BPO-displacement overhang caps the multiple and Q3 guide well-below signals estimates still too high (cheap = value trap). Conviction LOW (55/45) — risk: ~5-6x earnings + capitulation = squeeze/oversold-bounce; deep-value floor.",open,,,,guidance-cut-continuation,
2026-07-02T14:47:18+00:00,CRL,long,63,XLV,"Charles River (CRO): Lilly TuneLab AI/ML drug-discovery partnership (mid-Jun) + analyst re-rating CLUSTER — CLSA upgrade to Outperform (PT 167->219), Evercore/Baird/Barclays PT raises to ~213-220 — on a beaten-down preclinical CRO turning as biotech R&D-spend + China tone improve. Moderate conviction. Risk: overbought near-term, CRO demand cyclical, no earnings inside window.",open,,,,analyst-rerating,
