seen_at,date,ticker,pct_change,rel_volume,direction_hint,action,logged_at,rationale,status,pattern_tag,x21_pct,x63_pct,universe
2026-06-28T07:47:18+00:00,2026-06-26,ON,-25.5,3.6,short,skip,2026-06-28T16:27:46+00:00,"already a live bet (long ON 21d vs SOXX, 06-26) - do not double-count",skip,,+4.70,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,TECH,+22.5,4.4,long,skip,2026-06-28T16:28:01+00:00,"Merck 11.3B all-cash buyout TARGET; merger-arb pinned to deal price, no directional edge",skip,,+1.67,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,WDC,-21.4,2.9,short,skip,2026-06-28T16:27:46+00:00,"semiconductor sector rotation (Broadcom AI guide-down + oil/rate macro); moved with SOXX, no name-specific divergence",skip,,+28.88,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,ORCL,-19.4,1.4,short,skip,2026-06-28T16:27:46+00:00,real AI-capex debt overhang but already -22pct/30d; late and poor risk-reward vs XLK; beat-and-raise muddies a short,skip,,+18.51,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,ABBV,+17.0,9.6,long,skip,2026-06-28T16:28:01+00:00,"Apogee 10.9B M&A already announced Jun22 + all-time high; catalyst in the tape, large-cap arbitraged",skip,,+4.25,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,CRL,+16.6,1.7,long,skip,2026-06-28T16:28:01+00:00,"life-science tools re-rating read-through from Merck/Bio-Techne deal; pop already in, speculative",skip,,+6.61,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,ALB,-16.6,2.0,short,skip,2026-06-28T16:27:46+00:00,lithium/materials macro risk-off; no idiosyncratic read,skip,,+12.75,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,QCOM,-16.2,1.6,short,skip,2026-06-28T16:27:46+00:00,"semi sector rotation, beta vs SOXX",skip,,+13.67,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,MPWR,-16.0,4.1,short,skip,2026-06-28T16:27:46+00:00,"semi sector rotation, beta vs SOXX",skip,,+2.18,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,STX,-15.9,2.5,short,skip,2026-06-28T16:27:46+00:00,"semi sector rotation, beta vs SOXX",skip,,+22.82,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,INCY,+15.8,1.9,long,skip,2026-06-28T16:28:01+00:00,biotech riding the healthcare defensive rotation; no name-specific high-conviction read,skip,,+13.34,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,ARES,-15.6,1.7,short,skip,2026-06-28T16:27:47+00:00,"private-credit redemption stress, but betting the epicenter APO instead - do not double-bet one thesis",skip,,-18.89,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,UAL,+15.0,1.0,long,skip,2026-06-28T16:28:01+00:00,oil collapse <70 is a sector/commodity tailwind at a record high (priced); weak Q2 EPS print Jul15 inside window = poor risk-reward,skip,,-8.43,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,MRVL,-14.1,0.6,short,skip,2026-06-28T16:27:47+00:00,"semi sector rotation, beta vs SOXX (rel-vol only 0.6x)",skip,,+37.15,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,APO,-14.0,3.5,short,take,2026-06-28T16:27:47+00:00,"private-credit redemption gates + SEC valuation probe + fiduciary investigation; 80x PE on declining revenue; idiosyncratic vs XLF, structural overhang",taken,,-8.61,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,IQV,+13.9,1.0,long,skip,2026-06-28T16:28:01+00:00,"life-science tools/CRO re-rating read-through (Bio-Techne deal); sector, thin idiosyncratic edge",skip,,+25.71,,sp500
2026-06-28T07:47:18+00:00,2026-06-26,GLW,+13.4,3.6,long,skip,2026-06-28T16:28:01+00:00,"AI-optical theme (Amazon deal + Nvidia endorsement) but +106pct YTD extended; same thesis as CIEN, betting the less-extended name",skip,,-50.70,,sp500
